rnd-5f8ba221-daab-462a-a28b-7e28ac3929ad,SIM-00001,PHONE-00010,27/09/2016 07:12:01,24161,cell H,2,REASON 4
rnd-7263f576-8d86-4072-ac13-65f80e7b3380,SIM-00003,PHONE-00010,27/09/2016 07:12:02,7861,cell B,2,REASON 6
rnd-262b57c6-531f-453f-9012-6a9873b13c96,SIM-00005,PHONE-00002,27/09/2016 07:12:03,6561,cell J,2,REASON 2
rnd-4ca70e19-aa6b-4fa0-80e3-82a186376355,SIM-00003,PHONE-00001,27/09/2016 07:12:04,14861,cell E,2,REASON 3
rnd-331eba89-b289-4aea-97d7-fb14c28cb794,SIM-00004,PHONE-00001,27/09/2016 07:12:05,18261,cell H,1,REASON 3
rnd-c4b32dc9-ff7e-416b-b593-c63e499c5e46,SIM-00007,PHONE-00005,27/09/2016 07:12:07,9861,cell G,1,REASON 10
rnd-bbc16710-f434-4299-bea5-2a82287a928a,SIM-00005,PHONE-00006,27/09/2016 07:12:08,1261,cell A,1,REASON 6
rnd-28cff149-555c-46b1-af39-51a52d5e41ea,SIM-00007,PHONE-00010,27/09/2016 07:12:09,25661,cell A,1,REASON 5
rnd-c0fa10bf-73f1-4f63-a2a9-c1f19bb251d1,SIM-00010,PHONE-00005,27/09/2016 07:12:10,12661,cell C,2,REASON 5
rnd-81838062-cbbe-4c92-985e-ef6994ff59f7,SIM-00002,PHONE-00002,27/09/2016 07:12:11,10861,cell F,1,REASON 2
rnd-9637b7fb-3a70-4f34-9388-697cd628f286,SIM-00006,PHONE-00005,27/09/2016 07:12:13,11361,cell C,2,REASON 3
rnd-4e619adf-1485-4193-9bc1-76a4501c8a36,SIM-00007,PHONE-00003,27/09/2016 07:12:14,7361,cell B,1,REASON 7
rnd-8356bdf1-7bbd-4712-be3c-d7d5dd03e1bc,SIM-00005,PHONE-00010,27/09/2016 07:12:15,9361,cell H,2,REASON 7
rnd-3e81177c-298f-498d-bf42-05083d9ffbe1,SIM-00005,PHONE-00007,27/09/2016 07:12:16,13761,cell A,1,REASON 10
rnd-a3dc2591-bf53-424d-b993-ce9cdf60aba6,SIM-00009,PHONE-00008,27/09/2016 07:12:17,11361,cell J,2,REASON 3
rnd-ea8aedc2-3110-43dd-9dae-24a9d95d0c6e,SIM-00006,PHONE-00010,27/09/2016 07:12:19,28261,cell G,1,REASON 1
rnd-09dc6f1b-fdcc-441f-960a-7fa035e1dacb,SIM-00006,PHONE-00001,27/09/2016 07:12:20,1161,cell D,2,REASON 6
rnd-21867ca2-6e34-4a31-99ad-6b77423aec35,SIM-00008,PHONE-00002,27/09/2016 07:12:21,21361,cell A,1,REASON 3
rnd-11a6e62f-d3a4-4810-b195-c83da896b935,SIM-00007,PHONE-00002,27/09/2016 07:12:22,4261,cell I,2,REASON 8
rnd-d98025e4-0411-4f48-a1d5-a2ca0b5393f8,SIM-00006,PHONE-00001,27/09/2016 07:12:23,11761,cell C,1,REASON 7
