rnd-41d7d0be-bb6b-40fe-84c2-2af3956c8313,SIM-00006,PHONE-00010,27/09/2016 07:13:01,17861,cell J,2,REASON 5
rnd-232c5b67-f1ac-4171-a9c2-2cbb45d3eea7,SIM-00004,PHONE-00001,27/09/2016 07:13:02,6461,cell F,2,REASON 4
rnd-33a1dce0-d202-43dd-a6c7-2a4fd1023106,SIM-00009,PHONE-00007,27/09/2016 07:13:03,15661,cell H,2,REASON 5
rnd-729fc42e-a3a4-4cfa-83df-06a61bd2bbfc,SIM-00005,PHONE-00009,27/09/2016 07:13:04,17761,cell I,1,REASON 9
rnd-cfd4e5c8-35b7-4b5f-b6d3-4c39ca5b2635,SIM-00001,PHONE-00006,27/09/2016 07:13:05,3761,cell B,2,REASON 8
rnd-bae2ebfc-6cf4-46fc-8201-63dd7459b469,SIM-00009,PHONE-00004,27/09/2016 07:13:07,1161,cell H,2,REASON 6
rnd-19c06f46-62a3-474d-bb7c-8fa27fea1941,SIM-00008,PHONE-00008,27/09/2016 07:13:08,8561,cell A,1,REASON 1
rnd-40502e2c-8533-4fb2-9837-fd9d3a4cebc2,SIM-00008,PHONE-00004,27/09/2016 07:13:09,24861,cell A,2,REASON 7
rnd-3db320b6-f286-43f7-9ac0-af6be01823f9,SIM-00006,PHONE-00002,27/09/2016 07:13:10,25561,cell B,1,REASON 9
rnd-63e17ee4-ac21-4269-98b2-78cbd6c65843,SIM-00009,PHONE-00007,27/09/2016 07:13:11,12361,cell C,2,REASON 7
rnd-73e36cd5-b253-471b-8954-0f3770df412b,SIM-00008,PHONE-00010,27/09/2016 07:13:13,10761,cell F,2,REASON 8
rnd-b0f31a45-028e-4dde-8780-3daabc623e9d,SIM-00005,PHONE-00006,27/09/2016 07:13:14,20361,cell B,1,REASON 8
rnd-2b70de62-4958-4b6c-be84-9d067c7dd4ba,SIM-00002,PHONE-00004,27/09/2016 07:13:15,7961,cell B,1,REASON 2
rnd-8cd1bee4-38ad-46d9-8ef9-2fdc42cc4d20,SIM-00006,PHONE-00003,27/09/2016 07:13:16,5461,cell I,1,REASON 4
rnd-9520311c-47d4-465c-9109-f77adfabfee7,SIM-00003,PHONE-00003,27/09/2016 07:13:17,28961,cell H,1,REASON 7
rnd-8fadeda6-0ec4-474e-8093-403114d7c311,SIM-00005,PHONE-00009,27/09/2016 07:13:19,20361,cell C,2,REASON 9
rnd-c54ca94d-cd16-4e85-8fc5-846f8b711647,SIM-00010,PHONE-00009,27/09/2016 07:13:20,10461,cell I,1,REASON 10
rnd-eabb9c08-d1b5-4fa9-aa08-8af5783d89d9,SIM-00006,PHONE-00010,27/09/2016 07:13:21,15261,cell E,1,REASON 2
rnd-58bc0f3a-0d5a-4aee-bf81-0ca5f33dc038,SIM-00003,PHONE-00006,27/09/2016 07:13:22,14561,cell F,1,REASON 3
rnd-3641dd5a-daf1-4c09-b17a-cdfd7da63797,SIM-00008,PHONE-00005,27/09/2016 07:13:23,13161,cell B,1,REASON 8
rnd-8584224a-1386-49aa-8fdb-09043d976733,SIM-00004,PHONE-00004,27/09/2016 07:13:25,27261,cell E,1,REASON 3
rnd-7145795b-dc5e-4e48-b671-3784ea6c3d97,SIM-00004,PHONE-00006,27/09/2016 07:13:26,21661,cell I,1,REASON 6
rnd-a6c95357-aa19-4cce-8aaa-a82e0e012fc8,SIM-00004,PHONE-00006,27/09/2016 07:13:27,21661,cell I,1,REASON 5
rnd-6646c84c-267e-49e2-a390-e0511e44756a,SIM-00010,PHONE-00003,27/09/2016 07:13:28,3261,cell J,1,REASON 9
rnd-d542898c-6d30-45d8-b1cc-8de82405cec8,SIM-00006,PHONE-00005,27/09/2016 07:13:29,25961,cell B,2,REASON 6
rnd-8438a36c-e705-46c2-843a-6124b93a28de,SIM-00008,PHONE-00009,27/09/2016 07:13:31,9861,cell H,2,REASON 6
rnd-a1191878-c2a4-47a0-837d-5767aec62bb6,SIM-00009,PHONE-00001,27/09/2016 07:13:32,17161,cell G,2,REASON 3
rnd-11e96f53-98f5-4069-acf1-568f713831cc,SIM-00002,PHONE-00002,27/09/2016 07:13:33,26861,cell F,1,REASON 4
rnd-9355ab1d-05f9-446d-92fc-37cf3de8bb24,SIM-00005,PHONE-00005,27/09/2016 07:13:34,9961,cell E,1,REASON 6
rnd-81d637cf-355c-48f5-ad93-ce415d84d3b2,SIM-00002,PHONE-00002,27/09/2016 07:13:35,1661,cell G,2,REASON 3
rnd-5133f13e-2871-404f-b4f4-0d2fe49682c8,SIM-00006,PHONE-00009,27/09/2016 07:13:37,8361,cell E,1,REASON 3
rnd-ef59a4d5-07f2-43ae-84db-ff1509c0b7d1,SIM-00008,PHONE-00001,27/09/2016 07:13:38,21761,cell J,1,REASON 9
rnd-6feb404c-14ff-4b39-a887-764090e22f5e,SIM-00007,PHONE-00009,27/09/2016 07:13:39,11761,cell B,1,REASON 8
rnd-5439f935-2008-4f41-931a-c6f7fb58fa95,SIM-00004,PHONE-00009,27/09/2016 07:13:40,14061,cell C,2,REASON 9
rnd-f80295e7-2808-43d8-94e3-0e2566f6f619,SIM-00001,PHONE-00002,27/09/2016 07:13:41,3961,cell D,1,REASON 5
rnd-20bee387-35d6-483a-8f17-2dd53dcbe420,SIM-00010,PHONE-00006,27/09/2016 07:13:43,24861,cell H,2,REASON 9
rnd-9801536c-0383-4f47-9b10-2a43f402bda2,SIM-00007,PHONE-00009,27/09/2016 07:13:44,9761,cell C,2,REASON 2
rnd-5733fcb7-d6bf-4249-940c-fbf7a4ac3465,SIM-00005,PHONE-00004,27/09/2016 07:13:45,5561,cell A,2,REASON 7
rnd-2bf0a156-74ea-4fba-89e4-34ce26016f06,SIM-00004,PHONE-00009,27/09/2016 07:13:46,9561,cell A,2,REASON 2
rnd-988089ff-084b-47fc-bd06-c028e00405cd,SIM-00005,PHONE-00003,27/09/2016 07:13:47,12761,cell B,2,REASON 9
rnd-5aa90e27-b352-4b51-8444-7c6c238b484e,SIM-00004,PHONE-00008,27/09/2016 07:13:49,26861,cell D,1,REASON 2
rnd-06d1fd79-9d47-441b-8dd9-129cf76cfd7f,SIM-00003,PHONE-00005,27/09/2016 07:13:50,24661,cell I,2,REASON 5
