rnd-c888a2bb-e323-431d-bc8e-906f5aa3c15d,SIM-00010,PHONE-00007,27/09/2016 07:16:01,10661,cell C,1,REASON 10
rnd-2dc5a95c-42b8-47a2-a989-f443f4e10327,SIM-00002,PHONE-00008,27/09/2016 07:16:02,23761,cell D,2,REASON 9
rnd-7b9a2806-3146-4610-84fa-110bb8ef34de,SIM-00006,PHONE-00009,27/09/2016 07:16:03,28961,cell J,2,REASON 6
rnd-4664ec61-b4bd-467a-b756-153b8d6dfd85,SIM-00005,PHONE-00008,27/09/2016 07:16:04,14961,cell J,1,REASON 8
rnd-5f61c92c-407a-47af-803f-61c6019c4cff,SIM-00006,PHONE-00004,27/09/2016 07:16:05,21661,cell F,1,REASON 1
rnd-f5cc24ce-7479-4416-8995-9783fa16924e,SIM-00002,PHONE-00005,27/09/2016 07:16:07,19661,cell F,1,REASON 3
rnd-14469858-5409-490e-b575-a9991a141b5a,SIM-00008,PHONE-00005,27/09/2016 07:16:08,17961,cell C,2,REASON 1
rnd-df571c6c-0087-4500-b4c9-62773c8d3307,SIM-00001,PHONE-00010,27/09/2016 07:16:09,6061,cell B,2,REASON 9
rnd-08e42008-7dee-42be-93c7-e511a7d950a3,SIM-00004,PHONE-00010,27/09/2016 07:16:10,9861,cell C,2,REASON 7
rnd-2b72f794-c33f-45a4-81d9-7d91376cb52a,SIM-00010,PHONE-00004,27/09/2016 07:16:11,29861,cell C,1,REASON 4
rnd-e05effc2-4f8f-4f18-bc93-43eb8f3c8918,SIM-00004,PHONE-00001,27/09/2016 07:16:13,26761,cell G,1,REASON 4
rnd-db5e8656-52f3-4aa6-b096-799d666dd38e,SIM-00008,PHONE-00009,27/09/2016 07:16:14,13761,cell H,2,REASON 1
rnd-60fd1e4a-3e7e-4ffd-b8c2-49cd8056eb84,SIM-00004,PHONE-00009,27/09/2016 07:16:15,23261,cell I,2,REASON 2
rnd-13cb20b5-b3b2-4f6b-8f34-250296f2de05,SIM-00004,PHONE-00006,27/09/2016 07:16:16,16961,cell A,1,REASON 10
